# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Atherosclerosis.txt 2015-01-18 22:38:33.324143
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Atherosclerosis
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Atherosclerosis--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Atherosclerosis--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Atherosclerosis: 25
# Proteins in Background: 1025
#
# age	label	Atherosclerosis	Background	p-value
0.0	0.0	0	151	0.039
6.1	6.1	0	51	0.631
15.7	15.7	0	107	0.099
29.6	29.6	1	239	0.016
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	3	238	0.233
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.155
535.7	535.7	8	83	0.000
797.0	797.0	1	7	0.159
842.0	842.0	0	5	1.000
910.0	910.0	7	63	0.000
937.0	937.0	3	8	0.001
#
# Mann-Whitney U test: U = 3.4e+03 (p = 7.38e-11)
#
# Average age of Atherosclerosis: 619.8
# Average age of Background: 169.9
#
# Median age of Atherosclerosis: 535.7
# Median age of Background: 29.6
