# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Carcinoma.txt 2015-01-18 22:40:28.781003
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Carcinoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Carcinoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Carcinoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Carcinoma: 46
# Proteins in Background: 1025
#
# age	label	Carcinoma	Background	p-value
0.0	0.0	0	151	0.001
6.1	6.1	0	51	0.163
15.7	15.7	1	107	0.079
29.6	29.6	1	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	3	238	0.004
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	5	9	0.000
454.6	454.6	4	29	0.037
535.7	535.7	14	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	1	5	0.205
910.0	910.0	13	63	0.000
937.0	937.0	4	8	0.000
#
# Mann-Whitney U test: U = 6.5e+03 (p = 1.39e-17)
#
# Average age of Carcinoma: 606.1
# Average age of Background: 169.9
#
# Median age of Carcinoma: 535.7
# Median age of Background: 29.6
