# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Schizophrenia.txt 2015-01-18 23:00:56.882064
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Schizophrenia
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Schizophrenia--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Schizophrenia--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Schizophrenia: 34
# Proteins in Background: 1025
#
# age	label	Schizophrenia	Background	p-value
0.0	0.0	0	151	0.006
6.1	6.1	0	51	0.408
15.7	15.7	0	107	0.042
29.6	29.6	0	239	0.000
44.2	44.2	1	1	0.033
89.1	89.1	0	13	1.000
97.4	97.4	1	238	0.002
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	0	29	0.620
535.7	535.7	16	83	0.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	16	63	0.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 3.4e+03 (p = 3.16e-16)
#
# Average age of Schizophrenia: 684.5
# Average age of Background: 169.9
#
# Median age of Schizophrenia: 535.7
# Median age of Background: 29.6
