# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Endometriosis.txt 2015-01-18 22:45:17.414971
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Endometriosis
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Endometriosis--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Endometriosis--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Endometriosis: 64
# Proteins in Background: 1025
#
# age	label	Endometriosis	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.069
15.7	15.7	0	107	0.001
29.6	29.6	8	239	0.033
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	6	238	0.005
176.1	176.1	0	8	1.000
220.2	220.2	1	4	0.228
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	3	29	0.419
535.7	535.7	11	83	0.014
797.0	797.0	4	7	0.000
842.0	842.0	2	5	0.034
910.0	910.0	21	63	0.000
937.0	937.0	8	8	0.000
#
# Mann-Whitney U test: U = 1e+04 (p = 4.27e-21)
#
# Average age of Endometriosis: 621.5
# Average age of Background: 169.9
#
# Median age of Endometriosis: 797.0
# Median age of Background: 29.6
