# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Leiomyoma.txt 2015-01-18 21:19:16.814665
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Leiomyoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Leiomyoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Leiomyoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Leiomyoma: 8
# Proteins in Background: 1025
#
# age	label	Leiomyoma	Background	p-value
0.0	0.0	0	151	0.613
6.1	6.1	0	51	1.000
15.7	15.7	0	107	1.000
29.6	29.6	0	239	0.210
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	0	238	0.210
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	1	9	0.068
361.2	361.2	0	9	1.000
454.6	454.6	1	29	0.206
535.7	535.7	2	83	0.132
797.0	797.0	1	7	0.054
842.0	842.0	0	5	1.000
910.0	910.0	3	63	0.010
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 8.4e+02 (p = 4.05e-05)
#
# Average age of Leiomyoma: 672.2
# Average age of Background: 169.9
#
# Median age of Leiomyoma: 666.4
# Median age of Background: 29.6
