# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Urinary-Bladder-Neoplasms.txt 2015-01-18 23:02:29.409153
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Urinary-Bladder-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Urinary-Bladder-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Urinary-Bladder-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Urinary-Bladder-Neoplasms: 93
# Proteins in Background: 1025
#
# age	label	Urinary-Bladder-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.011
15.7	15.7	0	107	0.000
29.6	29.6	5	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	0.621
97.4	97.4	13	238	0.028
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	6	29	0.041
535.7	535.7	32	83	0.000
797.0	797.0	2	7	0.127
842.0	842.0	2	5	0.068
910.0	910.0	26	63	0.000
937.0	937.0	7	8	0.000
#
# Mann-Whitney U test: U = 1.4e+04 (p = 7.88e-31)
#
# Average age of Urinary-Bladder-Neoplasms: 589.0
# Average age of Background: 169.9
#
# Median age of Urinary-Bladder-Neoplasms: 535.7
# Median age of Background: 29.6
