# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Mouth-Neoplasms.txt 2015-01-18 22:54:57.035258
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Mouth-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Mouth-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Mouth-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Mouth-Neoplasms: 27
# Proteins in Background: 1025
#
# age	label	Mouth-Neoplasms	Background	p-value
0.0	0.0	0	151	0.024
6.1	6.1	0	51	0.640
15.7	15.7	1	107	0.349
29.6	29.6	0	239	0.001
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.062
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.176
535.7	535.7	5	83	0.060
797.0	797.0	1	7	0.171
842.0	842.0	0	5	1.000
910.0	910.0	12	63	0.000
937.0	937.0	4	8	0.000
#
# Mann-Whitney U test: U = 3e+03 (p = 8.99e-13)
#
# Average age of Mouth-Neoplasms: 713.5
# Average age of Background: 169.9
#
# Median age of Mouth-Neoplasms: 910.0
# Median age of Background: 29.6
