# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Medulloblastoma.txt 2015-01-18 22:54:37.919174
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Medulloblastoma
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Medulloblastoma--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Medulloblastoma--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Medulloblastoma: 71
# Proteins in Background: 1025
#
# age	label	Medulloblastoma	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.044
15.7	15.7	0	107	0.000
29.6	29.6	3	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	15	238	0.771
176.1	176.1	0	8	1.000
220.2	220.2	1	4	0.250
324.5	324.5	0	9	1.000
361.2	361.2	3	9	0.020
454.6	454.6	3	29	0.446
535.7	535.7	18	83	0.000
797.0	797.0	4	7	0.001
842.0	842.0	1	5	0.302
910.0	910.0	18	63	0.000
937.0	937.0	5	8	0.000
#
# Mann-Whitney U test: U = 1.2e+04 (p = 1.24e-22)
#
# Average age of Medulloblastoma: 548.7
# Average age of Background: 169.9
#
# Median age of Medulloblastoma: 535.7
# Median age of Background: 29.6
