# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Stroke.txt 2015-01-18 23:01:45.166211
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Stroke
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Stroke--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Stroke--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Stroke: 16
# Proteins in Background: 1025
#
# age	label	Stroke	Background	p-value
0.0	0.0	0	151	0.149
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.398
29.6	29.6	0	239	0.031
44.2	44.2	0	1	1.000
89.1	89.1	1	13	0.186
97.4	97.4	1	238	0.138
176.1	176.1	1	8	0.119
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.073
535.7	535.7	2	83	0.377
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	9	63	0.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 2e+03 (p = 6.71e-08)
#
# Average age of Stroke: 658.3
# Average age of Background: 169.9
#
# Median age of Stroke: 910.0
# Median age of Background: 29.6
