# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Tuberculosis,-Pulmonary.txt 2015-01-18 21:29:01.851714
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Tuberculosis,-Pulmonary
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Tuberculosis,-Pulmonary--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Tuberculosis,-Pulmonary--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Tuberculosis,-Pulmonary: 27
# Proteins in Background: 1025
#
# age	label	Tuberculosis,-Pulmonary	Background	p-value
0.0	0.0	3	151	0.786
6.1	6.1	0	51	0.640
15.7	15.7	0	107	0.103
29.6	29.6	7	239	0.817
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	5	238	0.651
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	1	9	0.214
454.6	454.6	4	29	0.006
535.7	535.7	6	83	0.017
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	1	63	1.000
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 1e+04 (p = 0.0137)
#
# Average age of Tuberculosis,-Pulmonary: 259.2
# Average age of Background: 169.9
#
# Median age of Tuberculosis,-Pulmonary: 97.4
# Median age of Background: 29.6
