# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Prostatic-Neoplasms.txt 2015-01-18 21:26:30.887378
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Prostatic-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Prostatic-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Prostatic-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Prostatic-Neoplasms: 120
# Proteins in Background: 1025
#
# age	label	Prostatic-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	1	51	0.023
15.7	15.7	1	107	0.000
29.6	29.6	8	239	0.000
44.2	44.2	1	1	0.117
89.1	89.1	0	13	0.384
97.4	97.4	16	238	0.006
176.1	176.1	0	8	0.607
220.2	220.2	0	4	1.000
324.5	324.5	1	9	1.000
361.2	361.2	1	9	1.000
454.6	454.6	6	29	0.138
535.7	535.7	41	83	0.000
797.0	797.0	2	7	0.193
842.0	842.0	3	5	0.013
910.0	910.0	34	63	0.000
937.0	937.0	5	8	0.001
#
# Mann-Whitney U test: U = 2.1e+04 (p = 8.58e-34)
#
# Average age of Prostatic-Neoplasms: 558.2
# Average age of Background: 169.9
#
# Median age of Prostatic-Neoplasms: 535.7
# Median age of Background: 29.6
