# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirnas_in_disease.txt 2015-01-19 01:13:17.581148
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = mirnas_in_disease
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--mirnas_in_disease--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--mirnas_in_disease--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in mirnas_in_disease: 496
# Proteins in Background: 1025
#
# age	label	mirnas_in_disease	Background	p-value
0.0	0.0	9	151	0.000
6.1	6.1	9	51	0.000
15.7	15.7	40	107	0.019
29.6	29.6	97	239	0.006
44.2	44.2	1	1	0.484
89.1	89.1	6	13	1.000
97.4	97.4	146	238	0.000
176.1	176.1	3	8	0.727
220.2	220.2	3	4	0.359
324.5	324.5	3	9	0.508
361.2	361.2	9	9	0.001
454.6	454.6	20	29	0.036
535.7	535.7	72	83	0.000
797.0	797.0	7	7	0.006
842.0	842.0	5	5	0.026
910.0	910.0	58	63	0.000
937.0	937.0	8	8	0.003
#
# Mann-Whitney U test: U = 1.8e+05 (p = 2.42e-22)
#
# Average age of mirnas_in_disease: 285.3
# Average age of Background: 169.9
#
# Median age of mirnas_in_disease: 97.4
# Median age of Background: 29.6
