# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Thyroid-Neoplasms.txt 2015-01-18 23:02:02.614748
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Thyroid-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Thyroid-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Thyroid-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Thyroid-Neoplasms: 52
# Proteins in Background: 1025
#
# age	label	Thyroid-Neoplasms	Background	p-value
0.0	0.0	0	151	0.000
6.1	6.1	0	51	0.105
15.7	15.7	0	107	0.004
29.6	29.6	0	239	0.000
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	6	238	0.043
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	2	9	0.072
454.6	454.6	3	29	0.178
535.7	535.7	12	83	0.001
797.0	797.0	3	7	0.004
842.0	842.0	2	5	0.023
910.0	910.0	20	63	0.000
937.0	937.0	4	8	0.000
#
# Mann-Whitney U test: U = 5.7e+03 (p = 1.32e-22)
#
# Average age of Thyroid-Neoplasms: 675.4
# Average age of Background: 169.9
#
# Median age of Thyroid-Neoplasms: 819.5
# Median age of Background: 29.6
