# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Hypertension.txt 2015-01-18 21:18:09.371375
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Hypertension
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Hypertension--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Hypertension--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Hypertension: 20
# Proteins in Background: 1025
#
# age	label	Hypertension	Background	p-value
0.0	0.0	0	151	0.059
6.1	6.1	0	51	0.619
15.7	15.7	1	107	0.713
29.6	29.6	0	239	0.007
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	4	238	1.000
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	5	29	0.000
535.7	535.7	4	83	0.071
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	6	63	0.001
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 3.8e+03 (p = 4.54e-07)
#
# Average age of Hypertension: 514.1
# Average age of Background: 169.9
#
# Median age of Hypertension: 495.2
# Median age of Background: 29.6
