# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Sarcoma,-Ewing.txt 2015-01-18 21:27:36.830984
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Sarcoma,-Ewing
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Sarcoma,-Ewing--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Sarcoma,-Ewing--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Sarcoma,-Ewing: 9
# Proteins in Background: 1025
#
# age	label	Sarcoma,-Ewing	Background	p-value
0.0	0.0	0	151	0.371
6.1	6.1	0	51	1.000
15.7	15.7	0	107	0.609
29.6	29.6	1	239	0.694
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	1.000
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	2	29	0.025
535.7	535.7	2	83	0.161
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	2	63	0.101
937.0	937.0	0	8	1.000
#
# Mann-Whitney U test: U = 2e+03 (p = 0.00133)
#
# Average age of Sarcoma,-Ewing: 447.2
# Average age of Background: 169.9
#
# Median age of Sarcoma,-Ewing: 454.6
# Median age of Background: 29.6
