# /Users/virpatel/projects/vanderbilt-summer-2014/computing_age/ProteinHistorian/age_enrichment_analysis.py -l /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt /Users/virpatel/projects/vanderbilt-summer-2014/main_script/disease_mirnas/Adrenal-Cortex-Neoplasms.txt 2015-01-18 21:07:20.826580
#
# AGE_LABEL_FILE = /Users/virpatel/projects/vanderbilt-summer-2014/main_script/mirbase_method2_ages.txt
# PHYLO_PROFILE_FILE = None
# POI1_NAME = Adrenal-Cortex-Neoplasms
# POI2_NAME = Background
# OUTPUT_NAME = mirbase_method2_ages--Adrenal-Cortex-Neoplasms--Background
# OUTPUT_DIR = results/enrichment/mirbase_method2_ages--Adrenal-Cortex-Neoplasms--Background/
#
# MISSING_POI = error
# MULTI_CORRECT = False
# PLOT_TYPE = bar
# SCALE_X = False
#
# Proteins in Adrenal-Cortex-Neoplasms: 7
# Proteins in Background: 1025
#
# age	label	Adrenal-Cortex-Neoplasms	Background	p-value
0.0	0.0	0	151	0.602
6.1	6.1	0	51	1.000
15.7	15.7	0	107	1.000
29.6	29.6	0	239	0.364
44.2	44.2	0	1	1.000
89.1	89.1	0	13	1.000
97.4	97.4	2	238	0.666
176.1	176.1	0	8	1.000
220.2	220.2	0	4	1.000
324.5	324.5	0	9	1.000
361.2	361.2	0	9	1.000
454.6	454.6	1	29	0.182
535.7	535.7	0	83	1.000
797.0	797.0	0	7	1.000
842.0	842.0	0	5	1.000
910.0	910.0	2	63	0.064
937.0	937.0	2	8	0.001
#
# Mann-Whitney U test: U = 9.6e+02 (p = 0.000337)
#
# Average age of Adrenal-Cortex-Neoplasms: 620.5
# Average age of Background: 169.9
#
# Median age of Adrenal-Cortex-Neoplasms: 910.0
# Median age of Background: 29.6
