Name	Average Age	Mann-Whitney U Value	Number of miRNAs
Leukemia, lymphoblastic, Chronic	910.0	40	1
Lupus Erythematosus, Systemic	625.5	3.3e+03	26
Fanconi Anemia	535.7	1.2e+02	1
Intracranial Aneurysm	910.0	79	2
HIV Infections	523.0	8.8e+02	6
Glomerulonephritis, IGA	669.2	5.1e+02	5
Carcinoma, Ehrlich Tumor	898.7	2.7e+02	6
Dyspepsia	97.4	3.4e+02	1
Chordoma	910.0	79	2
Prostatic Neoplasms	558.2	2.1e+04	120
Anoxia	535.7	2.5e+02	2
Arrhythmias, Cardiac	910.0	1.6e+02	4
Diabetes Complications	454.6	1.8e+02	1
Astrocytoma	531.3	3.6e+03	22
Neoplasms, Squamous Cell	506.2	6.3e+03	34
Biliary Atresia	910.0	79	2
Osteosarcoma 	454.6	1.8e+02	1
Stomach Diseases	454.6	3.6e+02	2
Adrenal Cortex Neoplasms	620.5	9.6e+02	7
Distal Myopathies	910.0	2e+02	5
Hepatitis, Chronic	422.1	2.5e+03	13
Lymphoma, Primary Effusion	856.5	7.2e+02	14
Child Development Disorders, Pervasive	535.7	2.5e+02	2
Endothelium, Vascular	535.7	1.2e+02	1
Eosinophilic Esophagitis	630.5	3.3e+03	27
Pulmonary Embolism	97.4	3.4e+02	1
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	475.2	1.3e+03	6
RNA Virus Infections	324.5	2.1e+02	1
Schistosomiasis	910.0	40	1
HCV	454.6	1.8e+02	1
Carcinoma, Neuroendocrine	454.6	3.6e+02	2
Carotid Artery Diseases	535.7	2.5e+02	2
Acute Coronary Syndrome	749.4	6.8e+02	8
Lipid Metabolism Disorders	454.6	1.8e+02	1
Liver Diseases	744.1	4.2e+02	5
Ependymoma	484.4	1.8e+03	8
Sarcoma, Ewing's	750.0	4.9e+02	6
Melanoma	535.8	2.7e+04	148
Neurilemmoma	910.0	1.2e+02	3
Kidney Failure, Acute	910.0	40	1
Pheochromocytoma	583.7	4.3e+02	3
Neoplasms, Glandular and Epithelial	910.0	79	2
Small Cell Lung Carcinoma	910.0	1.2e+02	3
Breast Neoplasms	462.8	5e+04	216
Choriocarcinoma	722.8	3.3e+02	4
Helplessness, Learned	900.3	3.1e+02	7
Liver Cirrhosis	541.8	3.7e+03	22
Frontotemporal Lobar Degeneration	29.6	2.6e+03	6
Cholesteatoma	744.1	4.2e+02	5
Osteolysis	454.6	1.8e+02	1
Central Nervous System Diseases	97.4	3.4e+02	1
Biliary Tract Neoplasms	522.0	2.7e+03	15
Eye Abnormalities	910.0	40	1
Cholangiocarcinoma	604.4	2.2e+03	14
Keloid	535.7	2.5e+02	2
Periodontitis	504.7	3.7e+03	17
Neoplasms	593.4	1.8e+04	121
Myeloproliferative Disorders	559.6	8.6e+02	6
Mouth Neoplasms	713.5	3e+03	27
Psychotic Disorders	535.7	2.5e+02	2
Leiomyoma	672.2	8.4e+02	8
Nervous System Diseases	910.0	79	2
HIV	624.7	1.3e+03	11
Cardiomegaly	702.6	7.7e+02	8
Oligodendroglioma	910.0	40	1
Myelodysplastic Syndromes	689.4	4.1e+03	39
Myocardial Ischemia	582.9	7.8e+02	6
Multiple Sclerosis	483.6	5.6e+03	26
Cardiomyopathy, Dilated	630.4	6e+02	5
Sarcoma, Synovial	928.0	48	3
Myopia	97.4	3.4e+02	1
Nevus, Pigmented	928.0	48	3
Aortic Aneurysm, Abdominal	454.6	1.8e+02	1
Lymphoma, Large-Cell, Anaplastic	581.6	1.4e+03	11
Toxoplasmosis	535.7	1e+03	8
Patau Syndrome	535.7	3.7e+02	3
Encephalomyelitis, Autoimmune, Experimental	454.6	1.8e+02	1
Mastocytosis, Systemic	97.4	6.9e+02	2
Psoriasis	523.7	2.8e+03	15
Lymphoma, T-Cell	622.5	1.7e+03	16
Gastritis, Atrophic	454.6	1.8e+02	1
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	355.7	2.9e+03	11
Kidney Neoplasms	631.1	7.6e+02	7
Esophageal Neoplasms	560.4	1.5e+04	77
Hematologic Neoplasms	708.1	7.1e+02	9
Precursor Cell Lymphoblastic Leukemia-Lymphoma	708.2	2e+03	23
Leprosy	454.6	1.8e+02	1
Diabetes Mellitus	532.5	1.5e+03	9
Obesity	526.7	1.2e+03	9
Pancreatic Neoplasms	612.8	1.5e+04	106
Brain Neoplasms	723.2	1e+03	10
